Subject,Question,Option A,Option B,Option C,Option D,Correct Answer
Science,What is the chemical symbol for water?,H2O,CO2,NaCl,O2,A
Science,How many bones are in the adult human body?,196,206,216,226,B
Science,What planet is known as the Red Planet?,Venus,Mars,Jupiter,Saturn,B
Science,What gas do plants absorb from the atmosphere during photosynthesis?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,C
Science,What is the speed of light in vacuum?,300000 km/s,150000 km/s,450000 km/s,600000 km/s,A
Science,What is the largest organ in the human body?,Heart,Brain,Liver,Skin,D
Science,What is the atomic number of carbon?,4,6,8,12,B
Science,Which blood type is known as the universal donor?,A,B,AB,O,D
Science,What is the hardest natural substance on Earth?,Gold,Iron,Diamond,Quartz,C
Science,How many chambers does a human heart have?,2,3,4,5,C